Time,Emotion
2025-04-13 16:26:44,happy
2025-04-13 16:26:44,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:45,happy
2025-04-13 16:26:46,happy
2025-04-13 16:26:46,happy
2025-04-13 16:26:46,sad
2025-04-13 16:26:46,sad
2025-04-13 16:26:46,sad
2025-04-13 16:26:46,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:47,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:48,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:49,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:50,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:51,neutral
2025-04-13 16:26:52,neutral
2025-04-13 16:26:52,neutral
2025-04-13 16:26:52,neutral
2025-04-13 16:26:52,neutral
2025-04-13 16:26:52,neutral
2025-04-13 16:26:52,neutral
2025-04-13 16:26:52,neutral
2025-04-13 16:26:53,neutral
2025-04-13 16:26:53,neutral
2025-04-13 16:26:53,neutral
2025-04-13 16:26:53,neutral
2025-04-13 16:26:53,neutral
2025-04-13 16:26:53,neutral
2025-04-13 16:26:53,neutral
2025-04-13 16:26:53,sad
2025-04-13 16:26:54,happy
2025-04-13 16:26:54,happy
2025-04-13 16:26:54,neutral
2025-04-13 16:26:54,happy
2025-04-13 16:26:54,happy
2025-04-13 16:26:54,sad
2025-04-13 16:26:54,neutral
2025-04-13 16:26:54,neutral
2025-04-13 16:26:55,neutral
2025-04-13 16:26:55,neutral
2025-04-13 16:26:55,neutral
2025-04-13 16:26:55,neutral
2025-04-13 16:26:55,sad
2025-04-13 16:26:55,neutral
2025-04-13 16:26:56,neutral
2025-04-13 16:26:56,neutral
2025-04-13 16:26:56,neutral
2025-04-13 16:26:56,fear
2025-04-13 16:26:56,neutral
2025-04-13 16:26:56,fear
2025-04-13 16:26:56,happy
2025-04-13 16:26:57,happy
2025-04-13 16:26:57,sad
2025-04-13 16:26:57,neutral
2025-04-13 16:26:57,neutral
2025-04-13 16:26:57,neutral
2025-04-13 16:26:57,surprise
2025-04-13 16:26:57,surprise
2025-04-13 16:26:57,fear
2025-04-13 16:26:58,fear
2025-04-13 16:26:58,fear
2025-04-13 16:26:58,neutral
2025-04-13 16:26:58,neutral
2025-04-13 16:26:58,neutral
2025-04-13 16:26:58,neutral
2025-04-13 16:26:58,neutral
2025-04-13 16:26:59,neutral
2025-04-13 16:26:59,neutral
2025-04-13 16:26:59,neutral
2025-04-13 16:26:59,neutral
2025-04-13 16:26:59,neutral
2025-04-13 16:26:59,fear
2025-04-13 16:26:59,sad
2025-04-13 16:26:59,sad
2025-04-13 16:27:00,neutral
2025-04-13 16:27:00,sad
2025-04-13 16:27:00,neutral
2025-04-13 16:27:00,neutral
2025-04-13 16:27:01,neutral
2025-04-13 16:27:01,neutral
2025-04-13 16:27:01,neutral
2025-04-13 16:27:01,sad
2025-04-13 16:27:01,sad
2025-04-13 16:27:01,neutral
2025-04-13 16:27:02,sad
2025-04-13 16:27:02,sad
2025-04-13 16:27:02,sad
2025-04-13 16:27:02,sad
2025-04-13 16:27:03,sad
2025-04-13 16:27:03,sad
2025-04-13 16:27:03,sad
2025-04-13 16:27:03,sad
2025-04-13 16:27:03,neutral
2025-04-13 16:27:04,sad
2025-04-13 16:27:04,neutral
2025-04-13 16:27:04,sad
2025-04-13 16:27:04,neutral
2025-04-13 16:27:04,neutral
2025-04-13 16:27:04,neutral
2025-04-13 16:27:04,neutral
2025-04-13 16:27:05,happy
2025-04-13 16:27:05,neutral
2025-04-13 16:27:05,sad
2025-04-13 16:27:05,neutral
